words,audio,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,auditory_stimulus.started,word_of_interest.started,auditory_stimulus.stopped,word_of_interest.stopped,cool_off_text.started,trial.stopped,cool_off_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
food,a,0,0,0,0,0,0,1,0.04630879999604076,,0.039094500010833144,0.05051013327514131,0.5140337999910116,0.5807413998991251,4.5148592999903485,4.5148592999903485,5.001316400012001,,300416,001,2025-10-25_21h41.47.381,DataCollectionExperiment,2024.2.4,60.084165896955135,2025-10-25 21h41.52.936110 -0600,
food,a,1,1,1,1,1,1,1,5.014992899959907,,5.0022141999797896,5.014889166636082,5.530603799968958,5.530603799968958,9.532161799957976,9.515721199917607,10.001301499898545,,300416,001,2025-10-25_21h41.47.381,DataCollectionExperiment,2024.2.4,60.084165896955135,2025-10-25 21h41.52.936110 -0600,
water,a,2,2,0,0,2,2,0,10.015145599958487,,10.007705399999395,10.015221466605242,10.531155199976638,10.531155199976638,14.532838299986906,14.499475099961273,14.986272899899632,14.999467899906449,300416,001,2025-10-25_21h41.47.381,DataCollectionExperiment,2024.2.4,60.084165896955135,2025-10-25 21h41.52.936110 -0600,
yes,a,3,3,0,0,3,3,2,14.999467899906449,,14.991482999990694,15.016134566573117,15.49936809996143,15.53200249990914,19.500027299975045,19.500027299975045,19.986580699915066,20.000172599917278,300416,001,2025-10-25_21h41.47.381,DataCollectionExperiment,2024.2.4,60.084165896955135,2025-10-25 21h41.52.936110 -0600,
water,a,4,4,1,1,4,4,0,20.000172599917278,,19.989489499945194,20.00020806660565,20.51602539990563,20.51602539990563,24.517662499914877,24.500667999964207,24.987909199902788,25.000912399962544,300416,001,2025-10-25_21h41.47.381,DataCollectionExperiment,2024.2.4,60.084165896955135,2025-10-25 21h41.52.936110 -0600,
food,a,5,5,2,2,5,5,1,25.000912399962544,,24.991137499921024,25.000898866627054,25.516655799932778,25.516655799932778,29.51801090000663,29.50142029998824,29.98773179994896,30.001650499994867,300416,001,2025-10-25_21h41.47.381,DataCollectionExperiment,2024.2.4,60.084165896955135,2025-10-25 21h41.52.936110 -0600,
water,a,6,6,2,2,6,6,0,30.001650499994867,,29.99155289994087,30.001487366567986,30.517309599905275,30.517309599905275,34.51939209992997,34.50302049994934,34.98913589993026,35.00271259993315,300416,001,2025-10-25_21h41.47.381,DataCollectionExperiment,2024.2.4,60.084165896955135,2025-10-25 21h41.52.936110 -0600,
no,a,7,7,0,0,7,7,3,35.00271259993315,,34.99329889996443,35.00256556662886,35.51790059998166,35.51790059998166,,,,,,,,,,,,
